Produit,Gluten,Lupin,Soja,Lait,Oeufs,Celeri,Fruits_a_coque,Arachides,Sesame,Moutarde,Poissons,Mollusques,Crustaces,Sulfites
COOKIE DUO CHOCO,Présent,Absent,Traces,Présent,Présent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
DONUT CHOCO NOISETTE,Présent,Absent,Traces,Présent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
GATEAU ANNIVERSAIRE CHOCOLAT,Présent,Absent,Traces,Présent,Présent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
MUFFIN COEUR COULANT CHOCOLAT NOISETTE,Présent,Absent,Traces,Présent,Présent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING BIO FRUITS / POMPOTE BIO POMME,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING YAOURT,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent

SAUCE CAESAR,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent
KING BIO CRUDITÉS,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
VINAIGRETTE BALSAMIQUE,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
VINAIGRETTE BALSAMIQUE TOMATES ET TOMATES SECHEES,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
PETITE SALADE,Traces,Absent,Absent,Absent,Présent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
NEW CAESAR CHICKEN VEGGIE BOWL,Présent,Absent,Présent,Présent,Présent,Présent,Traces,Absent,Traces,Présent,Traces,Absent,Traces,Absent
NEW CAESAR CHICKEN BOWL,Présent,Absent,Traces,Présent,Présent,Présent,Traces,Absent,Traces,Présent,Traces,Absent,Traces,Absent

FUZE TEA PETILLANT SAVEUR CITRON,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
BOISSON GROGU,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
VITTEL FRAISE & FRAMBOISE,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
